id,price_min,price_max,threshold_amount,discount_amount,discount_rate,discount_strength,priority,config_id,config_name,status,discount_type,recommended_quantity,created_at,updated_at
1,0,400,500,150,,7000,1,F001,复购超低价满减1,启用,满减,4,2025-12-12 12:01:41,2025-12-12 12:01:41
2,400,1000,800,200,,7500,1,F002,复购超低价满减2,启用,满减,3,2025-12-12 12:01:41,2025-12-12 12:01:41
3,1000,1300,,100,7500,7500,1,F003,复购超低价满减3,启用,折扣,2,2025-12-12 12:01:41,2025-12-12 12:01:41
4,1300,1500,,100,7500,7500,1,F004,复购超低价满减4,启用,折扣,2,2025-12-12 12:01:41,2025-12-12 12:01:41
5,1500,2500,,100,7500,7500,2,F005,复购低价折扣,启用,折扣,2,2025-12-12 12:01:41,2025-12-12 12:01:41
6,2500,10000,,100,7500,7500,4,F006,复购高价折扣,启用,折扣,1,2025-12-12 12:01:41,2025-12-12 12:01:41
7,10000,999900,,100,7500,7500,5,F007,复购高客单折扣,启用,折扣,1,2025-12-12 12:01:41,2025-12-12 12:01:41
