id,avg_amount,price_min,price_max,max_gift_amount,reference_amount_low,reference_amount_high,discount_rate,config_id,config_name,status,created_at,updated_at
46,8200,19900,20400,8400,12935,13260,6500,N046,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
47,8400,20400,20900,8600,13260,13585,6500,N047,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
48,8600,20900,21400,8800,13585,13910,6500,N048,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
49,8800,21400,21900,9000,13910,14235,6500,N049,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
50,8800,21900,22400,9000,14235,14560,6500,N050,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
51,8800,22400,22900,9000,14560,14885,6500,N051,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
52,9000,22900,23400,9200,14885,15210,6500,N052,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
53,9200,23400,23900,9400,15210,15535,6500,N053,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
54,9900,23900,24400,10100,15535,15860,6500,N054,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
55,10100,24400,24900,10300,15860,16185,6500,N055,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
56,10300,24900,25400,10500,16185,16510,6500,N056,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
57,10500,25400,25900,10700,16510,16835,6500,N057,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
58,10700,25900,26400,10900,16835,17160,6500,N058,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
59,10900,26400,26900,11100,17160,17485,6500,N059,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
60,11100,26900,27400,11300,17485,17810,6500,N060,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
61,11300,27400,27600,11600,17810,17940,6500,N061,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
62,11600,27600,28100,11900,17940,18265,6500,N062,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
63,11900,28100,28600,12200,18265,18590,6500,N063,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
64,12200,28600,29100,12500,18590,18915,6500,N064,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
65,12500,29100,29600,12800,18915,19240,6500,N065,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
66,12500,29600,30100,12800,19240,19565,6500,N066,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
67,12800,30100,30600,13100,19565,19890,6500,N067,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
68,12500,30600,31100,12800,19890,20215,6500,N068,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
69,12800,31100,31600,13100,20215,20540,6500,N069,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
70,13100,31600,32100,13400,20540,20865,6500,N070,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
71,13400,32100,32600,13700,20865,21190,6500,N071,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
72,13000,32600,33100,13300,21190,21515,6500,N072,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
73,13300,33100,33600,13600,21515,21840,6500,N073,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
74,13600,33600,34100,13900,21840,22165,6500,N074,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
75,13900,34100,34600,14200,22165,22490,6500,N075,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
76,14200,34600,35100,14500,22490,22815,6500,N076,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
77,14500,35100,35600,14800,22815,23140,6500,N077,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
78,14800,35600,36100,15100,23140,23465,6500,N078,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
79,14500,36100,36600,14800,23465,23790,6500,N079,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
80,14800,36600,37100,15100,23790,24115,6500,N080,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
81,15100,37100,37600,15400,24115,24440,6500,N081,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
82,15100,37600,38100,15400,24440,24765,6500,N082,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
83,15100,38100,38600,15400,24765,25090,6500,N083,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
84,15100,38600,39100,15400,25090,25415,6500,N084,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
85,15100,39100,39600,15400,25415,25740,6500,N085,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
86,15100,39600,40100,15400,25740,26065,6500,N086,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
87,15400,40100,40600,15700,26065,26390,6500,N087,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
88,15700,40600,41100,16000,26390,26715,6500,N088,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
89,16000,41100,41600,16300,26715,27040,6500,N089,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
90,16300,41600,42100,16600,27040,27365,6500,N090,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
91,16600,42100,42600,16900,27365,27690,6500,N091,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
92,16900,42600,43100,17200,27690,28015,6500,N092,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
93,17200,43100,43600,17500,28015,28340,6500,N093,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
94,17200,43600,44100,17500,28340,28665,6500,N094,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
95,17200,44100,44600,17500,28665,28990,6500,N095,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
96,17200,44600,45100,17500,28990,29315,6500,N096,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
97,17200,45100,45600,17500,29315,29640,6500,N097,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
98,17200,45600,46100,17500,29640,29965,6500,N098,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
99,17200,46100,46600,17500,29965,30290,6500,N099,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
100,17200,46600,47100,17500,30290,30615,6500,N100,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
101,17500,47100,47600,17800,30615,30940,6500,N101,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
102,17800,47600,48100,18100,30940,31265,6500,N102,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
103,18100,48100,48600,18400,31265,31590,6500,N103,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
104,18400,48600,49100,18700,31590,31915,6500,N104,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
105,18700,49100,49600,19000,31915,32240,6500,N105,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
106,19000,49600,50100,19300,32240,32565,6500,N106,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
107,19300,50100,50600,19600,32565,32890,6500,N107,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
108,19600,50600,51100,19900,32890,33215,6500,N108,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
109,19900,51100,51600,20200,33215,33540,6500,N109,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
110,19900,51600,52100,20200,33540,33865,6500,N110,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
111,19900,52100,52600,20200,33865,34190,6500,N111,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
112,19900,52600,53100,20200,34190,34515,6500,N112,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
113,19900,53100,53600,20200,34515,34840,6500,N113,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
114,19900,53600,54100,20200,34840,35165,6500,N114,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
115,20200,54100,54600,20500,35165,35490,6500,N115,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
116,20500,54600,55100,20800,35490,35815,6500,N116,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
117,20800,55100,55600,21100,35815,36140,6500,N117,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
118,21100,55600,56100,21400,36140,36465,6500,N118,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
119,21400,56100,56600,21700,36465,36790,6500,N119,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
120,21700,56600,57100,22000,36790,37115,6500,N120,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
121,17500,47100,47600,17800,30615,30940,6500,N121,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
122,17800,47600,48100,18100,30940,31265,6500,N122,特高价新人,启用,2025-12-12 12:01:41,2025-12-12 12:01:41
